context,occurrences
...al payment history with [XXXX] and all payme...,38
"...me a lot of stress and [XXXX] , and I can't...",18
...rized representative of [XXXX] under attache...,17
"...ime, and this giving me [XXXX] , I neves miss...",16
"...I, [XXXX] , as a federal...",16
"...iled by XXXX XXXX XXXX, [XXXX] , as authorize...",16
...ts	$XXXX	View DetailsXX/ [XXXX] NV Restaurant...,14
"...e Date XX/XX/XXXX, Page [XXXX] of XXXX, XX/X...",12
...tion date : XX/XX/year> [XXXX] /year> XXXX tr...,12
...for Transaction date : [XXXX] Type Purchase...,12
"...XXXX, XXXX, XXXX, XXXX, [XXXX] , XXXX, XXXX,...",11
"...X/XX/XXXX, Page XXXX of [XXXX] , XX/XX/XXXX,...",11
...sing me a great deal of [XXXX] . I have never...,10
"...XXXX  '', '' DEBIT '', [XXXX] , ''  XXXX...",10
"... [XXXX] , XXXX XXXX XX...",9
...any they responded that [XXXX] did not send...,9
"...ignificant distress and [XXXX] , to the point...",9
"...X / XXXX /  XXXX  , '' [XXXX] '', '' DEBIT...",9
...ts	$XXXX	View DetailsXX/ [XXXX] NV Supermarke...,9
.../XXXX	XXXX XXXX XXXX NV [XXXX] Gasoline	$XXX...,9
...T XXXX XXXX TX Shopping [XXXX] Posted XX/XX/...,9
...SACTION FEE XX/XX/year> [XXXX] transaction f...,9
...fix mistake and restore [XXXX] % interest r...,8
...XX XXXX XXXX XXXX pin # [XXXX] pin # XXXX XX...,8
...XX XXXXXXXX XX/XX/year> [XXXX] transaction f...,8
"...XX XXXX XXXX XXXX XXXX, [XXXX] , XXXX XXXX XX...",7
...( Charges made by older [XXXX] with XXXX XX...,6
...: XX/XX/2018 Claim ID : [XXXX] Initial Date...,6
"...This is [XXXX] , who is submi...",6
...I have [XXXX] credit cards...,6
"...tra fees and interest. [XXXX] . XX/XX/XXXX,...",6
"...est.  XXXX. XX/XX/XXXX, [XXXX] by XXXX to re...",6
... [XXXX] has been non-...,6
...een deleted by XXXX and [XXXX] . XXXX and XXX...,6
...tablished by myself but [XXXX] keeps verifyi...,6
...XX/XXXX Creditor Name : [XXXX] Inquiry Date...,6
...ts	$XXXX	View DetailsXX/ [XXXX] NV XXXX XXXX...,6
...police report with the [XXXX] Police Depart...,5
...ppearing on my consumer [XXXX] credit report...,5
...ood faith pursuant rule [XXXX] and It was ne...,5
... [XXXX] closed my acc...,5
...( FRAUD ) XX/XX/XXXX : [XXXX] {$8.00} ( FRA...,5
...I am [XXXX] and I am subm...,5
